date,region,category,revenue,orders,discount
2025-01,Центр,Электроника,182400,61,0.08
2025-01,Восток,Офис,146800,72,0.14
2025-01,Запад,Дом,137200,58,0.06
2025-02,Центр,Дом,176500,66,0.07
2025-02,Восток,Электроника,158900,64,0.09
2025-02,Запад,Офис,129400,71,0.16
2025-03,Центр,Офис,169100,82,0.18
2025-03,Восток,Дом,173600,68,0.05
2025-03,Запад,Электроника,151200,55,0.08
2025-04,Центр,Электроника,194700,63,0.06
2025-04,Восток,Офис,181300,79,0.15
2025-04,Запад,Дом,148900,61,0.07
2025-05,Центр,Дом,201500,74,0.05
2025-05,Восток,Электроника,207400,70,0.07
2025-05,Запад,Офис,143800,76,0.17
2025-06,Центр,Офис,188600,85,0.16
2025-06,Восток,Дом,216900,77,0.04
2025-06,Запад,Электроника,166500,59,0.07
2025-07,Центр,Электроника,221700,69,0.05
2025-07,Восток,Офис,224800,91,0.14
2025-07,Запад,Дом,172100,65,0.06
2025-08,Центр,Дом,229400,79,0.04
2025-08,Восток,Электроника,241600,81,0.06
2025-08,Запад,,178300,68,0.08
